10	N05CA06	SECOBARBITAL	28:24.0	BARBITURATES
42088	A02AF01	MAGALDRATE AND ANTIFLATULENTS	56:04.0	ANTACIDS AND ADSORBENTS
42089	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42090	S01GA52	"TETRYZOLINE, COMBINATIONS"	52:32.0	VASOCONSTRICTORS
42091	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42092	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42093	A06AB04	PHENOLPHTHALEIN	56:12.0	CATHARTICS AND LAXATIVES
42094	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42095	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42096	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42097	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42098	A06AA01	LIQUID PARAFFIN	56:12.0	CATHARTICS AND LAXATIVES
421	N05AC02	THIORIDAZINE	28:16.08.24	PHENOTHIAZINES
4210			56:24.0	LIPOTROPIC AGENTS
42100	A02AC01	CALCIUM CARBONATE	56:04.0	ANTACIDS AND ADSORBENTS
42101	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42101	R02AA12	HEXYLRESORCINOL	53:32.0	"EENT DRUGS, MISCELLANEOUS"
42102	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42104	D08AX01	HYDROGEN PEROXIDE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42105	A02AC01	CALCIUM CARBONATE	56:04.0	ANTACIDS AND ADSORBENTS
42106	A02AC01	CALCIUM CARBONATE	56:04.0	ANTACIDS AND ADSORBENTS
42107	A02AC01	CALCIUM CARBONATE	56:04.0	ANTACIDS AND ADSORBENTS
42108	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42109	D01AE18	TOLNAFTATE	84:04.08.40	THIOCARBAMATES
42110	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42111	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42112	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42114			24:28.0	KERATOLYTIC AGENTS
42115	C05AX03	"OTHER PREPARATIONS, COMBINATIONS"	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42116	D05AA	TARS	24:28.0	KERATOLYTIC AGENTS
42116	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
42117	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42118	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42120	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42121	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42122	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42128	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42129	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42130	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42131	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42132	D02AA	SILICONE PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42133	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42134	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	52:12.0	CONTACT LENS SOLUTIONS
42137	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42138	A01AA02	SODIUM MONOFLUOROPHOSPHATE	34:00.0	DENTAL AGENTS
42139	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42140	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42141	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42142	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42143	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42144	A06AB20	CONTACT LAXATIVES IN COMBINATION	56:12.0	CATHARTICS AND LAXATIVES
42146	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42147	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42153	N02BA01	ACETYLSALICYLIC ACID	28:08.04.24	SALICYLATES
42154	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42155	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42156	A01AD11	VARIOUS	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
4216	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42160	N02BA04	SODIUM SALICYLATE	28:08.04.24	SALICYLATES
42167	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42168	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42169	D11AF	WART AND ANTI-CORN PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
4217	D04AB04	BENZOCAINE	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
42172	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42174	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42175	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42176	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42177	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42183	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42187	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42188	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42189	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
4219	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
42190	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
42191	D01AE18	TOLNAFTATE	84:04.08.40	THIOCARBAMATES
42194	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
42195	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42196	A01AA02	SODIUM MONOFLUOROPHOSPHATE	34:00.0	DENTAL AGENTS
42197	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42198	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42199	M02AX10	VARIOUS	24:24.0	BASIC LOTIONS AND LINIMENTS
422	N02CA04	METHYSERGIDE	12:16.0	SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS
42200	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42201	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42202	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42203	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42208	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42209	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42210	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42213	S02DC	INDIFFERENT PREPARATIONS	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42215	A07BB	BISMUTH PREPARATIONS	56:04.0	ANTACIDS AND ADSORBENTS
42217	A09AA	ENZYME PREPARATIONS	56:10.0	ANTIFLATULENTS
42220	D01AE04	UNDECYLENIC ACID	84:04.08.92	MISCELLANEOUS ANTIFUNGALS
42221	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42222	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42223	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42226	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42229	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
4223	A03AA07	DICYCLOVERINE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
42230	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42231	R02AA12	HEXYLRESORCINOL	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
42232	A06AB20	CONTACT LAXATIVES IN COMBINATION	56:12.0	CATHARTICS AND LAXATIVES
42233	A09AA	ENZYME PREPARATIONS	56:10.0	ANTIFLATULENTS
42234	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42235	D01AE04	UNDECYLENIC ACID	84:04.08.92	MISCELLANEOUS ANTIFUNGALS
42236	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42238	A06AB20	CONTACT LAXATIVES IN COMBINATION	56:12.0	CATHARTICS AND LAXATIVES
4224	M01AC01	PIROXICAM	28:08.04.92	OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS
42242	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42243	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42244			57:32.0	MISCELLANEOUS GI DRUGS
42245	D01AE04	UNDECYLENIC ACID	84:04.08.92	MISCELLANEOUS ANTIFUNGALS
42246	D01AE04	UNDECYLENIC ACID	84:04.08.92	MISCELLANEOUS ANTIFUNGALS
42248	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	52:12.0	CONTACT LENS SOLUTIONS
42249	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	52:12.0	CONTACT LENS SOLUTIONS
4225	M01AC01	PIROXICAM	28:08.04.92	OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS
42250	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42251	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42252	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42254	A06AB04	PHENOLPHTHALEIN	56:12.0	CATHARTICS AND LAXATIVES
42255	D02BA01	AMINOBENZOIC ACID	84:80.00	SUNSCREEN AGENTS
42256	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42257	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42258	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42259	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42260	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42261	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42262	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42263	D03AA	COD-LIVER OIL OINTMENTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42264	D11AX11	HYDROQUINONE	24:50.0	DEPIGMENTING AGENTS
42265	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42266	D11AX11	HYDROQUINONE	24:50.0	DEPIGMENTING AGENTS
42267	D11AX11	HYDROQUINONE	24:50.0	DEPIGMENTING AGENTS
42268	D11AX11	HYDROQUINONE	24:50.0	DEPIGMENTING AGENTS
4227	R03DA05	AMINOPHYLLINE	26:16.0	RESPIRATORY SMOOTH MUSCLE RELAXANTS
42274	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42277	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42278	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42279	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
4228	A03BA01	ATROPINE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
42280	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42281	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42282	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42283	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42284	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42285	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42286	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
42287	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42288	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42289	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
4229	A03BA01	ATROPINE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
42291	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42292	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
42295	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	52:12.0	CONTACT LENS SOLUTIONS
42296	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42297	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42298	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42299	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
423	G03BA01	FLUOXYMESTERONE	08:08.0	ANDROGENS
42300	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42301			56:04.0	ANTACIDS AND ADSORBENTS
42303	D02AX	OTHER EMOLLIENTS AND PROTECTIVES	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42304	D01AE04	UNDECYLENIC ACID	84:04.08.92	MISCELLANEOUS ANTIFUNGALS
42305	A01AD11	VARIOUS	52:28.0	MOUTHWASHES AND GARGLES
42306	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42307	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42308	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42309	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
4231	A12AA03	CALCIUM GLUCONATE	40:12.0	REPLACEMENT PREPARATIONS
42313	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42314	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42316	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42318	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
42320	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42321	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42323	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42324	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42326	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42327	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42328	A06AA02	DOCUSATE SODIUM	56:12.0	CATHARTICS AND LAXATIVES
42330	D02BA01	AMINOBENZOIC ACID	84:80.00	SUNSCREEN AGENTS
42331	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
42333	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42335	N02BA51	"ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS"	28:08.04.24	SALICYLATES
42336	D08AX	OTHER ANTISEPTICS AND DISINFECTANTS	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
4234	N02AB02	PETHIDINE	28:08.1	OPIATE AGONISTS
42340	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42342	D11AF	WART AND ANTI-CORN PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
4235	N02AB02	PETHIDINE	28:08.1	OPIATE AGONISTS
42350	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42351	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42352	A01AA02	SODIUM MONOFLUOROPHOSPHATE	34:00.0	DENTAL AGENTS
42353	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
42354	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42356	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42357	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42358	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42359	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
4236	N02AB02	PETHIDINE	28:08.1	OPIATE AGONISTS
42361	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42362	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42363	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42364	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42365	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42366	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42367	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42368	D02BA01	AMINOBENZOIC ACID	84:80.00	SUNSCREEN AGENTS
4237	N02AB02	PETHIDINE	28:08.1	OPIATE AGONISTS
42370	A03ED	ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS	56:10.0	ANTIFLATULENTS
42371	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42372	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42374	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
42375	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42378	A11EX	"VITAMIN B-COMPLEX, OTHER COMBINATIONS"	88:28.01*	VITAMINS & MINERALS
42379	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
4238	N05AA03	PROMAZINE	28:16.08.24	PHENOTHIAZINES
42383	D11AF	WART AND ANTI-CORN PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42384	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42389	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
4239	N05CD01	FLURAZEPAM	28:24.1	BENZODIAZEPINES
42390	D08AJ08	BENZETHONIUM CHLORIDE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42393	N02BA01	ACETYLSALICYLIC ACID	28:08.04.24	SALICYLATES
42396	M02AX10	VARIOUS	24:24.0	BASIC LOTIONS AND LINIMENTS
42399	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
424	J01FF02	LINCOMYCIN	08:12.28.20	LINCOMYCINS
4240	N05CD01	FLURAZEPAM	28:24.1	BENZODIAZEPINES
42402	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42403	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42404	A02AF02	ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS	56:04.0	ANTACIDS AND ADSORBENTS
42405	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42406	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42407	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42408	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42409	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42411			84:80.00	SUNSCREEN AGENTS
42412	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42413	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42414	A02AD01	ORDINARY SALT COMBINATIONS	56:04.0	ANTACIDS AND ADSORBENTS
42415	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42418	A01AA51	"SODIUM FLUORIDE, COMBINATIONS"	34:00.0	DENTAL AGENTS
42418	A01AA51	"SODIUM FLUORIDE, COMBINATIONS"	52:28.0	MOUTHWASHES AND GARGLES
42419	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42421	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42422	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42425	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42426	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42427	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42430	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42431	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42432	R05X	Other cold preparations	48:01.00*	OTHER COLD AND COUGH PREPARATIONS
42433	D08AX	OTHER ANTISEPTICS AND DISINFECTANTS	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42434	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
42435	D08AX	OTHER ANTISEPTICS AND DISINFECTANTS	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42436	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
42437	D02AX	OTHER EMOLLIENTS AND PROTECTIVES	24:24.1	BASIC OINTMENTS AND PROTECTANTS
42438	A06AB05	CASTOR OIL	56:12.0	CATHARTICS AND LAXATIVES
42439	A06AA01	LIQUID PARAFFIN	56:12.0	CATHARTICS AND LAXATIVES
4244	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
42440	D08AG53	"IODINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
42441			92:01.00*	HERBS AND NATURAL PRODUCTS
42442	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42443	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42444	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42445	D02BA	PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE	84:80.00	SUNSCREEN AGENTS
42446	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42447	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
4245	A11HA02	PYRIDOXINE (VIT B6)	28:08.0	VITAMIN B COMPLEX
42451	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42452	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
42453	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42454	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42456	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
42457	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
