concept_code	concept_name
M68.83	Other diseases of the synovium and tendons in diseases classified elsewhere: forearm [radius, ulna, wrist]
M68.84	Other diseases of the synovium and tendons in diseases classified elsewhere: hand [fingers, wrist, metacarpal, joints between these bones]
M68.85	Other diseases of the synovium and tendons in diseases classified elsewhere: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M68.86	Other diseases of the synovium and tendons in diseases classified elsewhere: lower leg [fibula, tibia, knee joint]
M68.87	Other diseases of the synovium and tendons in diseases classified elsewhere: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M68.88	Other diseases of the synovium and tendons in diseases classified elsewhere: Other [neck, head, ribs, trunk, skull, spine]
M68.89	Other disorders of synovium and tendon in diseases classified elsewhere: unspecified location
M72.30	Nodular Fasciitis: Multiple Locations
M72.31	Fasciitis nodularis: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M72.32	Fasciitis nodularis: upper arm [humerus, elbow joint]
M72.33	Nodular fasciitis: forearm [radius, ulna, wrist]
M72.34	Nodular fasciitis: hand [fingers, wrist, metacarpal, joints between these bones]
M72.35	Nodular fasciitis: pelvic region and thighs [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M72.36	Fasciitis nodularis: lower leg [fibula, tibia, knee joint]
M72.37	Fasciitis nodularis: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M72.38	Fasciitis nodularis: other [neck, head, ribs, trunk, skull, spine]
M72.39	Nodular fasciitis: unspecified sites
M72.50	Fasciitis, not elsewhere classified: multiple sites
M72.51	Fasciitis, not elsewhere classified: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M72.52	Fasciitis, not elsewhere classified: upper arm [humerus, elbow joint]
M72.53	Fasciitis, not elsewhere classified: forearm [radius, ulna, wrist]
M72.54	Fasciitis, not elsewhere classified: hand [fingers, wrist, metacarpal, joints between these bones]
M72.55	Fasciitis, not elsewhere classified: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M72.56	Fasciitis, not elsewhere classified: lower leg [fibula, tibia, knee joint]
M72.57	Fasciitis, not elsewhere classified: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M72.58	Fasciitis, not elsewhere classified: other [neck, head, ribs, trunk, skull, spine]
M72.59	Fasciitis, not elsewhere classified: unspecified sites
M79.40	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: Several locations
M79.41	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M79.42	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: upper arm [humerus, elbow joint]
M79.43	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: forearm [radius, ulna, wrist]
M79.44	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: hand [fingers, wrist, metacarpal, joints between these bones]
M79.45	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M79.46	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: lower leg [fibula, tibia, knee joint]
M79.47	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M79.48	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: Other [neck, head, ribs, trunk, skull, spine]
M79.49	Hypertrophy of the corpus adiposum (infrapatellar) [Hoffa-Kastert syndrome]: unspecified locations
M93.20	Osteochondrosis dissecans: Multiple locations
M93.21	Osteochondrosis dissecans: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M93.22	Osteochondrosis dissecans: upper arm [humerus, elbow joint]
M93.23	Osteochondrosis dissecans: forearm [radius, ulna, wrist]
M93.24	Osteochondrosis dissecans: hand [fingers, wrist, metacarpal, joints between these bones]
M93.25	Osteochondrosis dissecans: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M93.26	Osteochondrosis dissecans: lower leg [fibula, tibia, knee joint]
M93.27	Osteochondrosis dissecans: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M93.28	Osteochondrosis dissecans: other [neck, head, ribs, trunk, skull, spine]
M93.29	Osteochondrosis dissecans: unspecified site
M93.80	Other specified osteochondropathies: Multiple locations
M93.81	Other specified osteochondropathies: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M93.82	Other specified osteochondropathies: upper arm [humerus, elbow joint]
M93.83	Other specified osteochondropathies: forearm [radius, ulna, wrist]
M93.84	Other specified osteochondropathies: Hand [fingers, wrist, metacarpal, joints between these bones]
M93.85	Other specified osteochondropathies: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]
M93.86	Other specified osteochondropathies: lower leg [fibula, tibia, knee joint]
M93.87	Other specified osteochondropathies: ankle and foot [tarsus, metatarsus, toes, ankle, other joints of the foot]
M93.88	Other specified osteochondropathies: Other [neck, head, ribs, trunk, skull, spine]
M93.89	Other specified osteochondropathies: unspecified site
M96.80	Electively left open sternum after thoracic surgery
M96.81	Unstable thorax after thoracic surgery
M96.82	Delayed bone healing after fusion or arthrodesis
M96.88	Other diseases of the musculoskeletal system following medical measures
M99.01	Segmental and somatic dysfunction: cervical region [cervicothoracic]
M99.02	Segmental and somatic dysfunction: thoracic region [thoracolumbar]
M99.03	Segmental and somatic dysfunction: lumbar region [lumbosacral]
M99.04	Segmental and somatic dysfunction: sacral area [sacrococcygeal, sacroiliac]
M99.05	Segmental and somatic functional disorders: pelvic area [hip or pubic bone region]
M99.06	Segmental and somatic dysfunction: lower extremity
M99.07	Segmental and somatic dysfunction: upper extremity [acromioclavicular, sternoclavicular]
M99.08	Segmental and somatic dysfunction: chest [costochondral, costovertebral, sternochondral]
M99.09	Segmental and somatic dysfunctions: abdomen and other locations
M99.11	Subluxation (of the spine): cervical area [cervicothoracic]
M99.12	Subluxation (of the spine): thoracic area [thoracolumbar]
M99.13	Subluxation (of the spine): lumbar region [lumbosacral]
M99.14	Subluxation (of the spine): sacral area [sacrococcygeal, sacroiliac]
M99.19	Subluxation (of the spine): abdomen and other locations
M99.21	Subluxation stenosis of the spinal canal: cervical area [cervicothoracic]
M99.22	Subluxation stenosis of the spinal canal: thoracic region [thoracolumbar]
M99.23	Subluxation stenosis of the spinal canal: lumbar region [lumbosacral]
M99.24	Subluxation stenosis of the spinal canal: sacral area [sacrococcygeal, sacroiliac]
M99.29	Subluxation stenosis of the spinal canal: abdomen and other locations
M99.31	Bony stenosis of the spinal canal: cervical area [cervicothoracic]
M99.32	Bony stenosis of the spinal canal: thoracic area [thoracolumbar]
M99.33	Bony stenosis of the spinal canal: lumbar region [lumbosacral]
M99.34	Bony stenosis of the spinal canal: sacral area [sacrococcygeal, sacroiliac]
M99.39	Bony stenosis of the spinal canal: abdomen and other locations
M99.41	Connective tissue stenosis of the spinal canal: cervical area [cervicothoracic]
M99.42	Connective tissue stenosis of the spinal canal: thoracic area [thoracolumbar]
M99.43	Connective tissue stenosis of the spinal canal: lumbar region [lumbosacral]
M99.44	Connective tissue stenosis of the spinal canal: sacral area [sacrococcygeal, sacroiliac]
M99.49	Connective tissue stenosis of the spinal canal: abdomen and other locations
M99.51	Stenosis of the spinal canal through intervertebral discs: cervical area [cervicothoracic]
M99.52	Stenosis of the spinal canal through intervertebral discs: thoracic area [thoracolumbar]
M99.53	Stenosis of the spinal canal due to intervertebral discs: lumbar region [lumbosacral]
M99.59	Stenosis of the spinal canal through intervertebral discs: abdomen and other locations
M99.61	Stenosis of the intervertebral foramina, bony or by subluxation: cervical area [cervicothoracic]
M99.62	Stenosis of the intervertebral foramina, bony or subluxation: thoracic region [thoracolumbar]
M99.63	Stenosis of the intervertebral foramina, bony or by subluxation: lumbar region [lumbosacral]
M99.64	Stenosis of the intervertebral foramina, bony or by subluxation: sacral region [sacrococcygeal, sacroiliac]
M99.69	Stenosis of the intervertebral foramina, bony or subluxation: abdomen and other locations
M99.71	Stenosis of the intervertebral foramina, connective tissue or through intervertebral discs: cervical area [cervicothoracic]
M99.72	Stenosis of the intervertebral foramina, connective tissue or through intervertebral discs: Thoracic area [thoracolumbar]
M99.73	Stenosis of the intervertebral foramina, connective tissue or through intervertebral discs: lumbar region [lumbosacral]
M99.74	Stenosis of the intervertebral foramina, connective tissue or through intervertebral discs: sacral area [sacrococcygeal, sacroiliac]
M99.79	Stenosis of the intervertebral foramina, connective tissue or through intervertebral discs: abdomen and other locations
M99.81	Other biomechanical functional disorders: cervical region [cervicothoracic]
M99.82	Other biomechanical functional disorders: thoracic region [thoracolumbar]
M99.83	Other biomechanical dysfunction: lumbar region [lumbosacral]
M99.84	Other biomechanical functional disorders: sacral region [sacrococcygeal, sacroiliac]
M99.85	Other biomechanical functional disorders: pelvic area [hip or pubic bone region]
M99.86	Other biomechanical disorders: lower extremity
M99.87	Other biomechanical dysfunction: upper extremity [acromioclavicular, sternoclavicular]
M99.88	Other biomechanical functional disorders: chest [costochondral, costovertebral, sternochondral]
M99.89	Other biomechanical disorders: abdomen and other locations
M99.91	Biomechanical dysfunction, unspecified: cervical region [cervicothoracic]
M99.92	Biomechanical dysfunction, unspecified: thoracic region [thoracolumbar]
M99.93	Biomechanical dysfunction, unspecified: lumbar region [lumbosacral]
M99.94	Biomechanical dysfunction, unspecified: sacral area [sacrococcygeal, sacroiliac]
M99.95	Biomechanical dysfunction, unspecified: pelvic area [hip or pubic bone region]
M99.96	Biomechanical dysfunction, unspecified: lower extremity
M99.97	Biomechanical dysfunction, unspecified: upper extremity [acromioclavicular, sternoclavicular]
M99.98	Biomechanical dysfunction, unspecified: chest [costochondral, costovertebral, sternochondral]
M99.99	Biomechanical dysfunction, unspecified: abdomen and other locations
N15.10	Kidney abscess
N15.11	Perinephritic abscess
N17.01	Acute renal failure with tubular necrosis: Stage 1
N17.02	Acute renal failure with tubular necrosis: stage 2
N17.03	Acute renal failure with tubular necrosis: Stage 3
N17.09	Acute renal failure with tubular necrosis: stage unspecified
N17.11	Acute kidney failure with acute cortical necrosis: stage 1
N17.12	Acute kidney failure with acute cortical necrosis: stage 2
N17.13	Acute kidney failure with acute cortical necrosis: stage 3
N17.19	Acute kidney failure with acute cortical necrosis: stage unspecified
N17.21	Acute kidney failure with marrow necrosis: Stage 1
N17.22	Acute kidney failure with marrow necrosis: stage 2
N17.23	Acute kidney failure with marrow necrosis: stage 3
N17.29	Acute renal failure with medullary necrosis: stage unspecified
N17.81	Other acute kidney failure: stage 1
N17.82	Other acute kidney failure: stage 2
N17.83	Other acute kidney failure: stage 3
N17.89	Other acute kidney failure: stage unspecified
N17.91	Acute kidney failure, unspecified: stage 1
N17.92	Acute kidney failure, unspecified: stage 2
N17.93	Acute kidney failure, unspecified: stage 3
N17.99	Acute kidney failure, unspecified: stage unspecified
N18.80	Unilateral chronic renal dysfunction
N18.81	Chronic renal failure, stage I.
N18.82	Chronic renal failure, stage II
N18.83	Chronic renal failure, stage III
N18.84	Chronic renal failure, stage IV
N18.89	Other chronic kidney disease, stage unspecified
N18.90	Chronic renal failure, unspecified
N18.91	Chronic renal dysfunction
N28.80	Rupture of a calyx, non-traumatic [fornix rupture]
N28.88	Other specified diseases of the kidney and ureter
N31.80	Low-compliance neuromuscular bladder, organically fixed
N31.81	Bladder muscle hypo- and acontractility without a neurological substrate
N31.82	Unstable bladder with no neurological substrate
N31.88	Other bladder neuromuscular dysfunction
N39.40	Reflex incontinence
N39.41	Overflow incontinence
N39.42	Urge incontinence
N39.43	Extraurethral urinary incontinence
N39.47	Relapse incontinence
N39.48	Other specified urinary incontinence
N39.81	Flank Pain Hematuria Syndrome
N39.88	Other specified diseases of the urinary system
N44.0	Testicular torsion
N44.1	Hydatide torsion
N48.30	Low-flow type priapism
N48.31	High-flow type priapism
N48.38	Other priapism
N48.39	Priapism, unspecified
N49.80	Fournier gangrene in men
N49.88	Inflammatory diseases of other specified male genital organs
N76.80	Fournier gangrene in women
N76.88	Other specified inflammatory disease of the vagina and vulva
N77.2	Vulvovaginal ulceration and inflammation in chronic graft-versus-host disease
N77.21	Stage 1 of chronic vulvovaginal graft-versus-host disease
N77.22	Stage 2 of chronic vulvovaginal graft-versus-host disease
N77.23	Stage 3 of chronic vulvovaginal graft-versus-host disease
N82.80	Fistula between vagina and pouch as a rectum replacement
N82.81	Fistula between the vagina and the replacement urinary bladder
N82.88	Other fistulas of the female genital tract
N90.80	Female genital mutilation, type unspecified
N90.81	Female genital mutilation, type 1
N90.82	Female genital mutilation, type 2
N90.83	Female genital mutilation, type 3
N90.84	Female genital mutilation, type 4
N90.88	Other specified non-inflammatory diseases of the vulva and perineum
O09	Duration of pregnancy
O09.0	Length of pregnancy: Less than 5 completed weeks
O09.1	Duration of pregnancy: 5 to 13 completed weeks
O09.2	Duration of pregnancy: 14th week to 19 completed weeks
O09.3	Duration of pregnancy: 20th week to 25 completed weeks
O09.4	Duration of pregnancy: 26 weeks to 33 completed weeks
O09.5	Duration of pregnancy: 34th week to 36 completed weeks
O09.6	Duration of pregnancy: 37th week to 41 completed weeks
O09.7	Length of gestation: More than 41 completed weeks
O09.9	Duration of pregnancy: unspecified
O26.60	Pregnancy cholestasis
O26.68	Other liver diseases during pregnancy, childbirth and the puerperium
O26.81	Kidney disease associated with pregnancy
O26.82	Carpal tunnel syndrome during pregnancy
O26.83	Peripheral neuritis during pregnancy
O26.88	Other specified conditions associated with pregnancy
O34.30	Care of the mother with vaginal ultrasound documented cervical length of less than 10 mm or funnel formation
O34.31	Care of the mother in case of amniotic sac prolapse
O34.38	Care of the mother with other cervical insufficiency
O34.39	Care of the mother for cervical insufficiency, unspecified
O42.11	Premature rupture of the bladder, labor begins after 1 to 7 days
O42.12	Premature rupture of the bladder, labor begins after more than 7 days
O42.20	Premature rupture of the bladder, inhibition of labor through therapy, labor begins within 24 hours
O42.21	Premature rupture of the bladder, inhibition of labor through therapy, labor begins after 1 to 7 days
O42.22	Premature rupture of the bladder, inhibition of labor through therapy, start of labor after more than 7 days
O42.29	Premature rupture of the bladder, inhibition of labor through therapy, without specifying when labor began
O43.20	Placenta accreta
O43.21	Placenta increta or percreta
O44.00	Placenta sits deeper without (current) bleeding
O44.01	Placenta previa without (current) bleeding
O44.10	Deep seat of the placenta with current bleeding
O44.11	Placenta previa with current bleeding
O88.20	Pulmonary embolism during the gestational period
O88.28	Other thromboembolism during the gestational period
O91.00	Infection of the nipple in connection with gestation: No indication of difficulty donning
O91.01	Infection of the nipple related to gestation: with indication of difficulty donning
O91.10	Abscess of the breast in connection with gestation: No indication of difficulties in positioning
O91.11	Abscess of the breast in connection with gestation: with indication of difficulties in putting on
O91.20	Non-purulent mastitis related to gestation: No indication of difficulty donning
O91.21	Non-purulent mastitis related to gestation: with indication of difficulty donning
O92.00	Inverted nipple in connection with gestation: No indication of difficulties in donning
O92.01	Inverted nipple in connection with gestation: with indication of difficulties in donning
O92.10	Rhagade of the nipple in connection with gestation: No indication of difficulties in donning
O92.11	Rhagade of the nipple in connection with gestation: with indication of difficulties in donning
O92.20	Other and unspecified diseases of the breast in connection with gestation: No indication of difficulties in putting on
O92.21	Other and unspecified diseases of the breast in connection with gestation: with indication of difficulties in putting on
O92.30	Agalaktie: No indication of difficulties in investing
O92.31	Agalaktie: indicating difficulties in investing
O92.40	Hypogalactia: No indication of difficulty in investing
O92.41	Hypogalactia: indicating difficulties in investing
O92.50	Inhibition of lactation: No indication of difficulties in mooring
O92.51	Inhibition of lactation: with indication of difficulties in mooring
O92.60	Galactorrhea: No indication of difficulty in putting on
O92.61	Galactorrhea: With indication of difficulties in putting on
O92.70	Other and unspecified lactation disorders: No indication of difficulties in putting on
O92.71	Other and unspecified lactation disorders: with indication of difficulties in docking
O96.2	Death due to unspecified gestational causes
O97.2	Death from the consequences of unspecified gestational causes
P07.00	Newborn: birth weight less than 500 grams
P07.01	Newborns: birth weight 500 to less than 750 grams
P07.02	Newborns: birth weight 750 to less than 1000 grams
P07.10	Newborns: birth weight 1000 to less than 1250 grams
P07.11	Newborns: birth weight 1250 to less than 1500 grams
P07.12	Newborns: birth weight 1500 to less than 2500 grams
P11.50	Birth injury to the spine and spinal cord: With acute paraplegia
P11.51	Birth injury to the spine and spinal cord: With chronic paraplegia
P11.59	Birth injury to the spine and spinal cord: unspecified
P91.80	Locked-in syndrome and apallic syndrome in the newborn
P91.88	Other specified neonatal cerebral disorders
Q21.80	Fallot pentalogy
Q21.88	Other congenital malformations of the heart septa
Q28.00	Congenital arteriovenous aneurysm of the precerebral vessels
Q28.01	Congenital arteriovenous fistula of the precerebral vessels
Q28.08	Other congenital arteriovenous malformations of the precerebral vessels
Q28.09	Congenital arteriovenous malformation of the precerebral vessels, unspecified
Q28.10	Congenital aneurysm of the precerebral vessels
Q28.11	Congenital fistula of the precerebral vessels
Q28.18	Other congenital malformations of the precerebral vessels
Q28.19	Congenital malformation of the precerebral vessels, unspecified
Q28.20	Congenital arteriovenous aneurysm of the cerebral vessels
Q28.21	Congenital arteriovenous fistula of the cerebral vessels
Q28.28	Other congenital arteriovenous malformations of the cerebral vessels
Q28.29	Congenital arteriovenous malformation of the cerebral vessels, unspecified
Q28.30	Congenital aneurysm of the cerebral vessels
Q28.31	Congenital fistula of the cerebral vessels
Q28.38	Other congenital malformations of the cerebral vessels
Q28.39	Congenital malformation of the cerebral vessels, unspecified
Q28.80	Other congenital aneurysm
Q28.81	Other congenital fistula of the circulatory system
Q28.88	Other specified congenital malformations of the circulatory system
Q43.40	Duplication of the small intestine
Q43.41	Duplication of the colon
Q43.42	Duplication of the rectum
Q43.49	Duplication of the intestine, unspecified
Q76.21	Congenital spondylolisthesis
Q76.22	Congenital spondylolysis
Q82.00	Hereditary lymphedema of the upper and lower extremity (s), stage I. 
Q82.01	Hereditary lymphedema of the upper and lower extremity (s), stage II 
Q82.02	Hereditary lymphedema of the upper and lower extremity (s), stage III 
Q82.03	Hereditary lymphedema, other localization, stage I. 
Q82.04	Hereditary lymphedema, other localization, stage II 
Q82.05	Hereditary lymphedema, other localization, stage III 
Q82.08	Other hereditary lymphedema
Q82.09	Hereditary lymphedema, unspecified
Q83.80	Tubular breast
Q83.88	Other congenital malformations of the breast
Q86.80	Thalidomide embryopathy
Q86.88	Other congenital malformation syndromes due to known external causes
Q89.00	Congenital splenomegaly
Q89.01	Asplenia (congenital)
Q89.08	Other congenital malformations of the spleen
R02.0	Skin and subcutaneous necrosis, not elsewhere classified
R02.00	Skin and subcutaneous necrosis, not elsewhere classified: head and neck
R02.01	Skin and subcutaneous necrosis, not elsewhere classified: shoulder region, upper arm and elbow
R02.02	Skin and subcutaneous necrosis, not elsewhere classified: forearm and wrist
R02.03	Skin and subcutaneous necrosis, not elsewhere classified: hand and fingers
R02.04	Skin and subcutaneous necrosis, not elsewhere classified: trunk
R02.05	Skin and subcutaneous necrosis, not elsewhere classified: pelvic region and thigh
R02.06	Skin and subcutaneous necrosis, not elsewhere classified: lower legs and knees
R02.07	Skin and subcutaneous necrosis, not elsewhere classified: ankle, foot and toe
R02.09	Skin and subcutaneous necrosis, not elsewhere classified: location unspecified
R02.8	Other and unspecified gangrene, not elsewhere classified
R06.80	Acute life threatening event in infancy
R06.88	Other and unspecified breathing disorders
R13.0	Dysphagia with mandatory supervision while eating
R13.1	Dysphagia in a tracheostoma requiring suction with a (partially) blocked tracheostomy tube
R13.9	Other and unspecified dysphagia
R19.80	Abdominal compartment syndrome
R19.88	Other specified symptoms affecting the digestive system and abdomen
R29.5	Neurological neglect
R29.81	Falls of unknown cause
R29.89	Other and unspecified symptoms affecting the nervous and musculoskeletal systems
R50.80	Fever of unknown origin
R50.88	Other specified fever
R77.80	Change in prostate-specific antigen [PSA]
R77.88	Other specified changes in plasma proteins
S00.00	Superficial injury to the hairy scalp: type of injury unspecified
S00.01	Superficial injury to the hairy scalp: abrasion
S00.02	Superficial injury to the hairy scalp: blistering (non-thermal)
S00.03	Superficial injury to the hairy scalp: insect bite or sting (non-toxic)
S00.04	Superficial injury to the hairy scalp: Superficial foreign body (splinters)
S00.05	Superficial injury to the hairy scalp: bruise
S00.08	Superficial injury to the hairy scalp: Other
S00.20	Other superficial injuries to the eyelid and periocular region: type of injury unspecified
S00.21	Other superficial injuries to the eyelid and periocular region: abrasion
S00.22	Other superficial injuries of the eyelid and the periocular region: blistering (non-thermal)
S00.23	Other superficial injuries to the eyelid and periocular region: insect bite or sting (non-toxic)
S00.24	Other superficial injuries to the eyelid and periocular region: Superficial foreign body (splinters)
S00.28	Other superficial injuries to the eyelid and periocular region: Other
S00.30	Superficial injury to the nose: type of injury unspecified
S00.31	Superficial injury to the nose: abrasion
S00.32	Superficial injury to the nose: blistering (non-thermal)
S00.33	Superficial injury to the nose: insect bite or sting (non-toxic)
S00.34	Superficial injury to the nose: superficial foreign body (splinters)
S00.35	Superficial injury to the nose: bruise
S00.38	Superficial Injury to the Nose: Other
S00.40	Superficial injury to the ear: type of injury unspecified
S00.41	Superficial injury to the ear: abrasion
S00.42	Superficial injury to the ear: blistering (non-thermal)
S00.43	Superficial injury to the ear: insect bite or sting (non-toxic)
S00.44	Superficial injury to the ear: superficial foreign body (splinters)
S00.45	Superficial injury to the ear: bruise
S00.48	Superficial Injury to Ear: Other
S00.50	Superficial injury to the lip and oral cavity: type of injury unspecified
S00.51	Superficial injury to the lip and oral cavity: abrasion
S00.52	Superficial injury to the lip and oral cavity: blistering (non-thermal)
S00.53	Superficial injury to the lip and oral cavity: insect bite or sting (non-toxic)
S00.54	Superficial injury to the lip and oral cavity: superficial foreign body (splinters)
S00.55	Superficial injury to the lip and oral cavity: bruise
S00.58	Superficial injury to the lip and oral cavity: other
S00.80	Superficial injury to other parts of the head: type of injury unspecified
S00.81	Superficial injury to other parts of the head: abrasion
S00.82	Superficial injury to other parts of the head: blistering (non-thermal)
S00.83	Superficial injury to other parts of the head: insect bite or sting (non-toxic)
S00.84	Superficial injury to other parts of the head: Superficial foreign body (splinters)
S00.85	Superficial injury to other parts of the head: bruise
S00.88	Superficial injury to other parts of the head: other
S00.90	Superficial injury to the head, part unspecified: type of injury unspecified
S00.91	Superficial injury to the head, part unspecified: abrasion
S00.92	Superficial injury to the head, part unspecified: blistering (non-thermal)
S00.93	Superficial injury to the head, part unspecified: insect bite or sting (non-toxic)
S00.94	Superficial injury to the head, part unspecified: Superficial foreign body (splinters)
S00.95	Superficial injury to the head, part unspecified: bruise
S00.98	Superficial injury to the head, part unspecified: other
S01.20	Open wound on the nose: part unspecified
S01.21	Open wound: outer skin of the nose
S01.22	Open wound: nostrils
S01.23	Open wound: nasal septum
S01.29	Open wound: Other and multiple parts of the nose
S01.30	Open wound of the ear: part unspecified
S01.31	Open wound: auricle
S01.33	Open wound: tragus
S01.34	Open wound: external ear canal
S01.35	Open wound: Tuba auditiva
S01.36	Open wound: ossicles
S01.37	Open wound: eardrum
S01.38	Open wound: inner ear
S01.39	Open wound: Other and multiple parts of the ear and auditory structures
S01.41	Open wound: cheek
S01.42	Open wound: upper jaw region
S01.43	Open wound: lower jaw region
S01.49	Open wound: Other and multiple parts of the cheek and temporomandibular region
S01.50	Open wound: mouth, part unspecified
S01.51	Open wound: lip
S01.52	Open wound: buccal mucosa
S01.53	Open wound: gums (processus alveolaris)
S01.54	Open wound: tongue and floor of the mouth
S01.55	Open wound: palate
S01.59	Open wound: Other and multiple parts of the lip and oral cavity
S01.80	Unspecified open wound on other parts of the head
S01.81	Open wound (any part of the head) associated with a fracture
S01.82	Open wound (any part of the head) associated with a dislocation
S01.83	Open wound (any part of the head) associated with an intracranial injury
S01.84	Grade I soft tissue damage with a closed fracture or dislocation of the head
S01.85	Second degree soft tissue damage with a closed fracture or dislocation of the head
S01.86	Soft tissue damage III. Degree with a closed fracture or dislocation of the head
S01.87	Grade I soft tissue damage with an open fracture or dislocation of the head
S01.88	Grade II soft tissue damage with an open fracture or dislocation of the head
S01.89	Soft tissue damage III. Degree with open fracture or dislocation of the head
S02.00	Cranial roof fracture: Closed or onA
S02.01	Skull fracture: Open
S02.62	Lower jaw fracture: subcondylar
S02.63	Lower jaw fracture: coronoid process
S02.64	Lower jaw fracture: mandibular ramus, unspecified
S02.65	Lower jaw fracture: Angulus mandibulae
S02.66	Lower jaw fracture: symphysis mandibulae
S02.67	Lower jaw fracture: pars alveolaris
S02.68	Lower jaw fracture: corpus mandibulae, other and unspecified parts
S02.69	Mandible fracture: multiple parts
S06.00	concussion
S06.01	Unconsciousness, duration unspecified
S06.02	Brief loss of consciousness [less than 30 minutes]
S06.03	Medium-term unconsciousness [30 minutes to 24 hours]
S06.04	Long unconsciousness [more than 24 hours] with a return to the previous level of consciousness
S06.05	Long unconsciousness [more than 24 hours] with no return to the previous level of consciousness
S06.22	Diffuse cerebellar contusions
S06.23	Multiple intracerebral and cerebellar hematomas
S06.28	Other diffuse brain and cerebellar injuries
S06.32	Circumscribed cerebellar contusion
S06.33	Circumscribed cerebral hematoma
S06.34	Circumscribed cerebellar hematoma
S06.38	Other circumscribed brain and cerebellar injuries
S06.72	Loss of consciousness in traumatic brain injury: More than 24 hours, with return to the previous level of consciousness
S06.73	Loss of consciousness in traumatic brain injury: More than 24 hours without a return to the previous level of consciousness
S06.79	Loss of consciousness in traumatic brain injury: duration unspecified
S10.10	Other and unspecified superficial injuries of the throat: type of injury unspecified
S10.11	Other and unspecified superficial injuries of the throat: abrasion
S10.12	Other and unspecified superficial injuries of the throat: blistering (non-thermal)
S10.13	Other and unspecified superficial injuries to the throat: insect bite or sting (non-toxic)
S10.14	Other and unspecified superficial injuries of the throat: Superficial foreign body (splinters)
S10.18	Other and unspecified superficial injuries of the throat: Other
S10.80	Superficial injury to other parts of the neck: type of injury unspecified
S10.81	Superficial injury to other parts of the neck: abrasion
S10.82	Superficial injury to other parts of the neck: blistering (non-thermal)
S10.83	Superficial injury to other parts of the neck: insect bite or sting (non-toxic)
S10.84	Superficial injury to other parts of the neck: Superficial foreign body (splinters)
S10.85	Superficial injury to other parts of the neck: bruise
S10.88	Superficial injury to other parts of the neck: Other
S10.90	Superficial injury to the neck, part unspecified: type of injury unspecified
S10.91	Superficial injury to the neck, part unspecified: abrasion
S10.92	Superficial injury to the neck, part unspecified: blistering (non-thermal)
S10.93	Superficial injury to the neck, part unspecified: insect bite or sting (non-toxic)
S10.94	Superficial injury to the neck, part unspecified: Superficial foreign body (splinters)
S10.95	Superficial injury to the neck, part unspecified: bruise
S10.98	Superficial injury to the neck, part unspecified: other
S11.01	Open wound: larynx
S11.02	Open wound: trachea, pars cervicalis
S11.21	Open wound: throat
S11.22	Open wound: esophagus, pars cervicalis
S11.80	Unspecified open wound on other parts of the neck
S11.81	Open wound (any part of the neck) associated with a fracture
S11.82	Open wound (any part of the neck) associated with a dislocation
S11.84	Grade I soft tissue damage with a closed fracture or dislocation of the neck
S11.85	Grade II soft tissue damage with a closed fracture or dislocation of the neck
S11.86	Soft tissue damage III. Degree with a closed fracture or dislocation of the neck
S11.87	Grade I soft tissue damage with an open fracture or dislocation of the neck
S11.88	Grade II soft tissue damage with an open fracture or dislocation of the neck
S11.89	Soft tissue damage III. Grade with open fracture or dislocation of the neck
S12.00	Fracture of the 1st cervical vertebra: Closed or onA
S12.01	Fracture of the 1st cervical vertebra: Open
S12.22	Fracture of the 4th cervical vertebra
S12.23	Fracture of the 5th cervical vertebra
S12.24	Fracture of the 6th cervical vertebra
