"ICDO3.2"	"Level"	"Term"	"Code reference"	"obs"	"See also"	"See note"	"Includes"	"Excludes"	"Other text"
"8832/1"	"Preferred"	"Dermatofibrosarcoma protuberans, NOS"	"(C44._)"						
"8832/1"	"Synonym"	"Dermatofibrosarcoma, NOS"	"(C44._)"						
"8832/3"	"Preferred"	"Dermatofibrosarcoma protuberans, fibrosarcomatous"	"(C44._)"						
"8832/3"	"Synonym"	"Dermatofibrosarcoma, sarcomatous"	"(C44._)"						
"8833/1"	"Preferred"	"Pigmented dermatofibrosarcoma protuberans"	"(C44._)"						
"8833/1"	"Synonym"	"Bednar tumor"	"(C44._)"						
"8834/1"	"Preferred"	"Giant cell fibroblastoma"							
"8835/1"	"Preferred"	"Plexiform fibrohistiocytic tumor"							
"8836/1"	"Preferred"	"Angiomatoid fibrous histiocytoma"							
"884"	2	"Myxomatous neoplasms"							
"8840/0"	"Preferred"	"Myxoma, NOS"							
"8840/3"	"Preferred"	"Myxosarcoma"							
"8840/3"	"Related"	"Low grade fibromyxoid sarcoma"							
"8840/3"	"Related"	"Sclerosing epithelioid fibrosarcoma"							
"8841/0"	"Preferred"	"Angiomyxoma, NOS"							
"8841/0"	"Related"	"Aggressive angiomyxoma"							
"8841/0"	"Related"	"Superficial angiomyxoma"							
"8842/0"	"Preferred"	"Ossifying fibromyxoid tumor, NOS"							
"8842/3"	"Preferred"	"Ossifying fibromyxoid tumor, malignant"							
"8842/3"	"Related"	"Pulmonary myxoid sarcoma with EWSR1-CREB1 translocation"	"(C34._)"						
"885-888"	2	"Lipomatous neoplasms"							
"8850/0"	"Preferred"	"Lipoma, NOS"							
"8850/0"	"Related"	"Thymolipoma"	"(C37.9)"						
"8850/1"	"Preferred"	"Atypical lipomatous tumor"							
"8850/1"	"Synonym"	"Atypical lipoma"							
"8850/1"	"Synonym"	"Liposarcoma, well differentiated, superficial"							
"8850/3"	"Preferred"	"Liposarcoma, NOS"							
"8850/3"	"Synonym"	"Fibroliposarcoma"							
"8851/0"	"Preferred"	"Fibrolipoma"							
"8851/1"	"Preferred"	"Lipofibromatosis"							
"8851/3"	"Preferred"	"Liposarcoma, well differentiated, NOS"							
"8851/3"	"Synonym"	"Lipoma-like liposarcoma"							
"8851/3"	"Synonym"	"Liposarcoma, differentiated"							
"8851/3"	"Related"	"Inflammatory liposarcoma"							
"8851/3"	"Related"	"Sclerosing liposarcoma"							
"8852/0"	"Preferred"	"Fibromyxolipoma"							
"8852/0"	"Synonym"	"Myxolipoma"							
"8852/3"	"Preferred"	"Myxoid liposarcoma"							
"8852/3"	"Synonym"	"Myxoliposarcoma"							
"8853/3"	"Preferred"	"Round cell liposarcoma"		"[obs]"	"(see also M-8852/3)"				
"8854/0"	"Preferred"	"Pleomorphic lipoma"		"[obs]"					
"8854/3"	"Preferred"	"Pleomorphic liposarcoma"							
"8855/3"	"Preferred"	"Mixed liposarcoma"							
"8856/0"	"Preferred"	"Intramuscular lipoma"							
"8856/0"	"Related"	"Infiltrating angiolipoma"		"[obs]"					
"8856/0"	"Related"	"Infiltrating lipoma"		"[obs]"					
"8857/0"	"Preferred"	"Spindle cell lipoma"							
"8857/3"	"Preferred"	"Fibroblastic liposarcoma"							
"8858/3"	"Preferred"	"Dedifferentiated liposarcoma"							
"8860/0"	"Preferred"	"Angiomyolipoma"							
"8860/1"	"Preferred"	"Angiomyolipoma, epithelioid"							
"8861/0"	"Preferred"	"Angiolipoma, NOS"							
"8862/0"	"Preferred"	"Chondroid lipoma"							
"8870/0"	"Preferred"	"Myelolipoma"							
"8880/0"	"Preferred"	"Hibernoma"							
"8880/0"	"Synonym"	"Brown fat tumor"							
"8880/0"	"Synonym"	"Fetal fat cell lipoma"							
"8881/0"	"Preferred"	"Lipoblastomatosis"							
"8881/0"	"Synonym"	"Fetal lipoma, NOS"							
"8881/0"	"Synonym"	"Fetal lipomatosis"							
"8881/0"	"Synonym"	"Lipoblastoma"							
"889-892"	2	"Myomatous neoplasms"							
"8890/0"	"Preferred"	"Leiomyoma, NOS"							
"8890/0"	"Synonym"	"Fibroid uterus"	"(C55.9)"						
"8890/0"	"Synonym"	"Fibromyoma"							
"8890/0"	"Synonym"	"Leiomyofibroma"							
"8890/0"	"Related"	"Lipoleiomyoma"							
"8890/0"	"Synonym"	"Lipomatous leiomyoma"							
"8890/0"	"Related"	"Plexiform leiomyoma"							
"8890/0"	"Related"	"Leiomyoma, apoplectic"							
"8890/0"	"Related"	"Leiomyoma, hydropic"							
"8890/0"	"Related"	"Myolipoma"							
"8890/0"	"Related"	"Cotyledonoid leiomyoma"							
"8890/0"	"Synonym"	"Dissecting leiomyoma"							
"8890/1"	"Preferred"	"Leiomyomatosis, NOS"							
"8890/1"	"Related"	"Leiomyomatosis, peritonealis disseminata"							
"8890/1"	"Related"	"Intravascular leiomyomatosis"							
"8890/1"	"Synonym"	"Intravenous leiomyomatosis"							
"8890/3"	"Preferred"	"Leiomyosarcoma, NOS"							
"8891/0"	"Preferred"	"Epithelioid leiomyoma"							
"8891/0"	"Synonym"	"Leiomyoblastoma"							
"8891/3"	"Preferred"	"Epithelioid leiomyosarcoma"							
"8892/0"	"Preferred"	"Cellular leiomyoma"							
"8893/0"	"Preferred"	"Bizarre leiomyoma"							
"8893/0"	"Synonym"	"Atypical leiomyoma"							
"8893/0"	"Synonym"	"Pleomorphic leiomyoma"							
"8893/0"	"Synonym"	"Symplastic leiomyoma"							
"8894/0"	"Preferred"	"Angioleiomyoma"							
"8894/0"	"Synonym"	"Angiomyoma"							
"8894/0"	"Synonym"	"Vascular leiomyoma"							
"8894/3"	"Preferred"	"Angiomyosarcoma"							
"8895/0"	"Preferred"	"Myoma"							
"8895/3"	"Preferred"	"Myosarcoma"							
"8896/0"	"Preferred"	"Myxoid leiomyoma"							
"8896/3"	"Preferred"	"Myxoid leiomyosarcoma"							
"8897/1"	"Preferred"	"Smooth muscle tumor of uncertain malignant potential"							
"8897/1"	"Synonym"	"Smooth muscle tumor, atypical"							
"8897/1"	"Related"	"Smooth muscle tumor, NOS"							
"8897/1"	"Related"	"Leiomyosarcoma, cutaneous"	"(C44._)"						
"8898/1"	"Preferred"	"Metastasizing leiomyoma"							
"8900/0"	"Preferred"	"Rhabdomyoma, NOS"							
"8900/3"	"Preferred"	"Rhabdomyosarcoma, NOS"							
"8900/3"	"Synonym"	"Rhabdosarcoma"							
"8901/3"	"Preferred"	"Pleomorphic rhabdomyosarcoma, adult type"							
"8901/3"	"Related"	"Pleomorphic rhabdomyosarcoma, NOS"							
"8901/3"	"Synonym"	"Rhabdomyosarcoma, pleomorphic type"							
"8902/3"	"Preferred"	"Mixed type rhabdomyosarcoma"							
"8902/3"	"Related"	"Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma"							
"8903/0"	"Preferred"	"Fetal rhabdomyoma"							
"8904/0"	"Preferred"	"Adult cellular rhabdomyoma"							
"8904/0"	"Synonym"	"Adult rhabdomyoma"							
"8904/0"	"Related"	"Glycogenic rhabdomyoma"							
"8905/0"	"Preferred"	"Genital rhabdomyoma"	"(C51._, C52.9)"						
"8910/3"	"Preferred"	"Embryonal rhabdomyosarcoma, NOS"							
"8910/3"	"Synonym"	"Rhabdomyosarcoma, embryonal type"							
"8910/3"	"Related"	"Embryonal rhabdomyosarcoma, pleomorphic"							
"8910/3"	"Related"	"Sarcoma botryoides"							
"8910/3"	"Synonym"	"Botryoid sarcoma"							
"8912/3"	"Preferred"	"Spindle cell rhabdomyosarcoma"							
"8912/3"	"Synonym"	"Sclerosing rhabdomyosarcoma"							
"8912/3"	"Synonym"	"Rhabdomyosarcoma, spindle cell/sclerosing type"							
"8920/3"	"Preferred"	"Alveolar rhabdomyosarcoma"							
"8921/3"	"Preferred"	"Ectomesenchymoma"							
"8921/3"	"Synonym"	"Rhabdomyosarcoma with ganglionic differentiation"							
"893-899"	2	"Complex mixed and stromal neoplasms"							
"8930/0"	"Preferred"	"Endometrial stromal nodule"	"(C54.1)"						
"8930/3"	"Preferred"	"Endometrial stromal sarcoma, NOS"	"(C54.1)"						
"8930/3"	"Synonym"	"Endometrial sarcoma, NOS"	"(C54.1)"						
"8930/3"	"Related"	"Endometrial stromal sarcoma, high grade"	"(C54.1)"						
"8930/3"	"Synonym"	"Endometrioid stromal sarcoma, high grade"							
"8931/3"	"Preferred"	"Endometrial stromal sarcoma, low grade"	"(C54.1)"						
"8931/3"	"Synonym"	"Endolymphatic stromal myosis"	"(C54.1)"						
"8931/3"	"Synonym"	"Endometrioid stromal sarcoma, low grade"							
"8931/3"	"Synonym"	"Endometrial stromatosis"	"(C54.1)"						
"8931/3"	"Synonym"	"Stromal endometriosis"	"(C54.1)"						
"8931/3"	"Synonym"	"Stromal myosis, NOS"	"(C54.1)"						
"8932/0"	"Preferred"	"Adenomyoma, NOS"							
"8932/0"	"Related"	"Atypical polypoid adenomyoma"							
"8933/3"	"Preferred"	"Adenosarcoma"							
"8934/3"	"Preferred"	"Carcinofibroma"							
"8935/0"	"Preferred"	"Stromal tumor, benign"							
"8935/1"	"Preferred"	"Stromal tumor, NOS"							
"8935/1"	"Related"	"Metanephric stromal tumor"	"(C64.9)"						
"8935/1"	"Related"	"Stromal tumor of uncertain malignant potential"							
"8935/3"	"Preferred"	"Stromal sarcoma, NOS"							
"8936/3"	"Preferred"	"Gastrointestinal stromal tumor"							
"8936/3"	"Synonym"	"GIST"							
"8936/3"	"Synonym"	"Gastrointestinal stromal sarcoma"							
"8936/3"	"Related"	"Gastrointestinal autonomic nerve tumor"		"[obs]"					
"8936/3"	"Synonym"	"GANT"		"[obs]"					
"8936/3"	"Related"	"Gastrointestinal pacemaker cell tumor"		"[obs]"					
"8940/0"	"Preferred"	"Pleomorphic adenoma"							
"8940/0"	"Synonym"	"Mixed tumor, NOS"							
"8940/0"	"Synonym"	"Mixed tumor, salivary gland type, NOS"	"(C07._, C08._)"						
"8940/0"	"Related"	"Chondroid syringoma, NOS"	"(C44._)"						
"8940/3"	"Preferred"	"Mixed tumor, malignant, NOS"							
"8940/3"	"Synonym"	"Mixed tumor, salivary gland type, malignant"	"(C07._, C08._)"						
"8940/3"	"Related"	"Malignant chondroid syringoma"	"(C44._)"						
"8941/3"	"Preferred"	"Carcinoma ex pleomorphic adenoma"	"(C07._, C08._) "						
"8941/3"	"Synonym"	"Carcinoma in pleomorphic adenoma"	"(C07._, C08._)"						
"8950/3"	"Preferred"	"Mullerian mixed tumor"	"(C54._)"						
"8951/3"	"Preferred"	"Mesodermal mixed tumor"							
"8959/0"	"Preferred"	"Benign cystic nephroma"	"(C64.9)"						
"8959/0"	"Related"	"Mixed epithelial and stromal tumor"	"(C64.9)"						
"8959/0"	"Related"	"Pediatric cystic nephroma"	"(C64.9)"						
"8959/0"	"Related"	"Adult cystic nephroma"	"(C64.9)"						
"8959/1"	"Preferred"	"Cystic partially differentiated nephroblastoma"	"(C64.9)"						
"8959/3"	"Preferred"	"Malignant cystic nephroma"	"(C64.9)"						
"8959/3"	"Synonym"	"Malignant multilocular cystic nephroma"	"(C64.9)"						
"8960/1"	"Preferred"	"Mesoblastic nephroma"							
"8960/3"	"Preferred"	"Nephroblastoma, NOS"	"(C64.9)"						
"8960/3"	"Synonym"	"Nephroma, NOS"	"(C64.9)"	"[obs]"					
"8960/3"	"Synonym"	"Wilms tumor"	"(C64.9)"						
"8963/3"	"Preferred"	"Rhabdoid tumor, NOS"							
"8963/3"	"Synonym"	"Malignant rhabdoid tumor"							
"8963/3"	"Synonym"	"Rhabdoid sarcoma"							
"8964/3"	"Preferred"	"Clear cell sarcoma of kidney"	"(C64.9)"						
"8966/0"	"Preferred"	"Renomedullary interstitial cell tumor"	"(C64.9)"						
"8966/0"	"Synonym"	"Renomedullary fibroma"	"(C64.9)"						
"8966/0"	"Synonym"	"Medullary fibroma"	"(C64.9)"						
"8967/0"	"Preferred"	"Ossifying renal tumor"	"(C64.9)"						
"8970/3"	"Preferred"	"Hepatoblastoma, NOS"	"(C22.0)"						
"8970/3"	"Synonym"	"Embryonal hepatoma"	"(C22.0)"						
"8970/3"	"Related"	"Hepatoblastoma, epithelioid"	"(C22.0)"						
"8970/3"	"Related"	"Hepatoblastoma, mixed epithelial-mesenchymal"	"(C22.0)"						
"8971/3"	"Preferred"	"Pancreatoblastoma"	"(C25._)"						
"8972/3"	"Preferred"	"Pulmonary blastoma"	"(C34._)"						
"8972/3"	"Synonym"	"Pneumoblastoma"	"(C34._)"						
"8973/3"	"Preferred"	"Pleuropulmonary blastoma"							
"8974/1"	"Preferred"	"Sialoblastoma"							
"8975/1"	"Preferred"	"Calcifying nested stromal-epithelial tumor"	"(C22.0)"						
"8980/3"	"Preferred"	"Carcinosarcoma, NOS"							
"8981/3"	"Preferred"	"Carcinosarcoma, embryonal"							
"8982/0"	"Preferred"	"Myoepithelioma, NOS"							
"8982/0"	"Synonym"	"Myoepithelial adenoma"							
"8982/0"	"Synonym"	"Myoepithelial tumor"							
"8982/0"	"Synonym"	"Ectomesenchymal chondromyxoid tumor"							
"8982/3"	"Preferred"	"Myoepithelial carcinoma"							
"8982/3"	"Synonym"	"Malignant myoepithelioma"							
"8982/3"	"Synonym"	"Myoepithelioma, infiltrating"							
"8983/0"	"Preferred"	"Adenomyoepithelioma, NOS"	"(C50._)"						
"8983/0"	"Related"	"Adenomyoepithelioma, benign"	"(C50._)"						
"8983/3"	"Preferred"	"Adenomyoepithelioma with carcinoma"	"(C50._)"						
"8983/3"	"Synonym"	"Malignant adenomyoepithelioma"	"(C50._)"						
"8990/0"	"Preferred"	"Mesenchymoma, benign"							
"8990/0"	"Related"	"Phosphaturic mesenchymal tumor, benign"							
"8990/0"	"Synonym"	"Phosphaturic mesenchymal tumor, NOS"							
"8990/1"	"Preferred"	"Mesenchymoma, NOS"							
"8990/1"	"Synonym"	"Mixed mesenchymal tumor"							
"8990/1"	"Related"	"Primitive non-neural granular cell tumor"							
"8990/3"	"Preferred"	"Mesenchymoma, malignant"							
"8990/3"	"Synonym"	"Mixed mesenchymal sarcoma"							
"8990/3"	"Related"	"Phosphaturic mesenchymal tumor, malignant"							
"8991/3"	"Preferred"	"Embryonal sarcoma"							
"8992/0"	"Preferred"	"Pulmonary hamartoma"	"(C34._)"						
"900-903"	2	"Fibroepithelial neoplasms"							
"9000/0"	"Preferred"	"Brenner tumor, NOS"	"(C56.9)"						
"9000/1"	"Preferred"	"Brenner tumor, borderline malignancy"	"(C56.9)"						
"9000/1"	"Synonym"	"Borderline Brenner tumor"	"(C56.9)"						
"9000/1"	"Synonym"	"Brenner tumor, atypical proliferative"	"(C56.9)"						
"9000/1"	"Synonym"	"Brenner tumor, proliferating"	"(C56.9)"						
"9000/3"	"Preferred"	"Brenner tumor, malignant"	"(C56.9)"						
"9010/0"	"Preferred"	"Fibroadenoma, NOS"	"(C50._)"						
"9010/0"	"Related"	"Lipofibroadenoma"							
"9011/0"	"Preferred"	"Intracanalicular fibroadenoma"	"(C50._)"						
"9012/0"	"Preferred"	"Pericanalicular fibroadenoma"	"(C50._)"						
"9013/0"	"Preferred"	"Adenofibroma, NOS"							
"9013/0"	"Related"	"Metanephric adenofibroma"	"(C64.9)"						
"9013/0"	"Synonym"	"Nephrogenic adenofibroma"	"(C64.9)"						
"9013/0"	"Related"	"Cystadenofibroma, NOS"							
"9013/0"	"Related"	"Papillary adenofibroma"							
"9014/0"	"Preferred"	"Serous adenofibroma, NOS"							
"9014/0"	"Related"	"Serous cystadenofibroma, NOS"							
"9014/0"	"Related"	"Seromucinous adenofibroma"							
"9014/1"	"Preferred"	"Serous adenofibroma of borderline malignancy"							
"9014/1"	"Related"	"Serous cystadenofibroma of borderline malignancy"							
"9014/3"	"Preferred"	"Serous adenocarcinofibroma"							
"9014/3"	"Synonym"	"Malignant serous adenofibroma"							
"9014/3"	"Related"	"Serous cystadenocarcinofibroma"							
"9014/3"	"Synonym"	"Malignant serous cystadenofibroma"							
"9015/0"	"Preferred"	"Mucinous adenofibroma, NOS"							
"9015/0"	"Related"	"Mucinous cystadenofibroma, NOS"							
"9015/1"	"Preferred"	"Mucinous adenofibroma of borderline malignancy"							
"9015/1"	"Related"	"Mucinous cystadenofibroma of borderline malignancy"							
"9015/3"	"Preferred"	"Mucinous adenocarcinofibroma"							
"9015/3"	"Synonym"	"Malignant mucinous adenofibroma"							
"9015/3"	"Related"	"Mucinous cystadenocarcinofibroma"							
"9015/3"	"Synonym"	"Malignant mucinous cystadenofibroma"							
"9016/0"	"Preferred"	"Giant fibroadenoma"	"(C50._)"						
"9020/0"	"Preferred"	"Phyllodes tumor, benign"	"(C50._)"						
"9020/0"	"Synonym"	"Cystosarcoma phyllodes, benign"	"(C50._)"	"[obs]"					
"9020/1"	"Preferred"	"Phyllodes tumor, borderline"	"(C50._)"						
"9020/1"	"Synonym"	"Cystosarcoma phyllodes, NOS"	"(C50._)"						
"9020/1"	"Synonym"	"Phyllodes tumor, NOS"	"(C50._)"						
"9020/3"	"Preferred"	"Phyllodes tumor, malignant"	"(C50._)"						
"9020/3"	"Synonym"	"Cystosarcoma phyllodes, malignant"	"(C50._)"	"[obs]"					
"9020/3"	"Related"	"Periductal stromal tumor, low grade"	"(C50._)"						
"9030/0"	"Preferred"	"Juvenile fibroadenoma"	"(C50._)"						
"904"	2	"Synovial-like neoplasms"							
"9040/0"	"Preferred"	"Synovioma, benign"							
"9040/3"	"Preferred"	"Synovial sarcoma, NOS"							
"9040/3"	"Synonym"	"Synovioma, NOS"							
"9040/3"	"Synonym"	"Synovioma, malignant"							
"9041/3"	"Preferred"	"Synovial sarcoma, spindle cell"							
"9041/3"	"Synonym"	"Synovial sarcoma, monophasic fibrous"							
"9042/3"	"Preferred"	"Synovial sarcoma, epithelioid cell"							
"9043/3"	"Preferred"	"Synovial sarcoma, biphasic"							
"9044/3"	"Preferred"	"Clear cell sarcoma, NOS"						"(except of kidney M-8964/3)"	
"9044/3"	"Related"	"Malignant melanoma of soft parts"	"(C49._)"						
"9045/3"	"Preferred"	"Biphenotypic sinonasal sarcoma"	"(C30.0, C31._)"						
"905"	2	"Mesothelial neoplasms"							
"9050/0"	"Preferred"	"Mesothelioma, benign"							
"9050/3"	"Preferred"	"Mesothelioma, malignant"							
"9050/3"	"Synonym"	"Mesothelioma, NOS"							
"9051/0"	"Preferred"	"Fibrous mesothelioma, benign"							
"9051/3"	"Preferred"	"Fibrous mesothelioma, malignant"							
"9051/3"	"Synonym"	"Fibrous mesothelioma, NOS"							
"9051/3"	"Synonym"	"Desmoplastic mesothelioma"							
"9051/3"	"Synonym"	"Sarcomatoid mesothelioma"							
"9051/3"	"Synonym"	"Spindled mesothelioma"							
"9052/0"	"Preferred"	"Epithelioid mesothelioma, benign"							
"9052/0"	"Related"	"Well differentiated papillary mesothelioma"						"(except of pleura M-9052/1)"	
"9052/0"	"Synonym"	"Mesothelial papilloma"							
"9052/1"	"Preferred"	"Well differentiated papillary mesothelioma of pleura"	"(C38.4)"						
"9052/3"	"Preferred"	"Epithelioid mesothelioma, malignant"							
"9052/3"	"Synonym"	"Epithelioid mesothelioma, NOS"							
"9053/3"	"Preferred"	"Mesothelioma, biphasic, malignant"							
"9053/3"	"Synonym"	"Mesothelioma, biphasic, NOS"							
"9054/0"	"Preferred"	"Adenomatoid tumor, NOS"							
"9055/0"	"Preferred"	"Peritoneal inclusion cysts"	"(C48._)"						
"9055/0"	"Synonym"	"Cystic mesothelioma"	"(C48._)"						
"9055/0"	"Synonym"	"Multicystic mesothelioma"	"(C48._)"						
"906-909"	2	"Germ cell neoplasms"							
"9060/3"	"Preferred"	"Dysgerminoma"							
"9061/3"	"Preferred"	"Seminoma, NOS"	"(C62._)"						
"9062/3"	"Preferred"	"Seminoma, anaplastic"	"(C62._)"						
"9062/3"	"Synonym"	"Seminoma with high mitotic index"	"(C62._)"						
"9063/3"	"Preferred"	"Spermatocytic seminoma"	"(C62._)"						
"9063/3"	"Synonym"	"Spermatocytoma"	"(C62._)"						
"9063/3"	"Synonym"	"Spermatocytic tumor"	"(C62._)"						
"9064/2"	"Preferred"	"Intratubular malignant germ cells"	"(C62._)"						
"9064/2"	"Synonym"	"Intratubular germ cell neoplasia"	"(C62._)"						
"9064/2"	"Synonym"	"Germ cell neoplasia in situ"	"(C62._)"						
"9064/3"	"Preferred"	"Germinoma"							
"9064/3"	"Synonym"	"Germ cell tumor, NOS"							
"9065/3"	"Preferred"	"Germ cell tumor, nonseminomatous"	"(C62._)"						
"9070/3"	"Preferred"	"Embryonal carcinoma, NOS"							
"9070/3"	"Synonym"	"Embryonal adenocarcinoma"							
"9071/3"	"Preferred"	"Yolk sac tumor, NOS"							
"9071/3"	"Synonym"	"Embryonal carcinoma, infantile"							
"9071/3"	"Synonym"	"Yolk sac tumor, pre-pubertal type"							
"9071/3"	"Synonym"	"Endodermal sinus tumor"							
"9071/3"	"Synonym"	"Orchioblastoma"	"(C62._)"						
"9071/3"	"Synonym"	"Polyvesicular vitelline tumor"							
"9071/3"	"Related"	"Hepatoid yolk sac tumor"							
"9071/3"	"Related"	"Yolk sac tumor, post-pubertal type"							
"9072/3"	"Preferred"	"Polyembryoma"							
"9072/3"	"Synonym"	"Embryonal carcinoma, polyembryonal type"							
"9073/1"	"Preferred"	"Gonadoblastoma"							
"9073/1"	"Synonym"	"Gonocytoma"							
"9080/0"	"Preferred"	"Teratoma, benign"							
"9080/0"	"Synonym"	"Adult teratoma, NOS"							
"9080/0"	"Synonym"	"Cystic teratoma, NOS"							
"9080/0"	"Synonym"	"Adult cystic teratoma"							
"9080/0"	"Synonym"	"Mature teratoma, NOS"							
"9080/0"	"Synonym"	"Teratoma, differentiated"							
"9080/1"	"Preferred"	"Teratoma, NOS"							
"9080/1"	"Synonym"	"Solid teratoma"							
"9080/1"	"Related"	"Germ cell tumor, regressed"							
"9080/1"	"Related"	"Immature teratoma of lung"	"(C34._)"						
"9080/1"	"Related"	"Immature teratoma of thymus"	"(C37.9)"						
"9080/1"	"Related"	"Immature teratoma of thyroid"	"(C73.9)"						
"9080/3"	"Preferred"	"Teratoma, malignant, NOS"							
"9080/3"	"Synonym"	"Embryonal teratoma"							
"9080/3"	"Synonym"	"Teratoblastoma, malignant"							
"9080/3"	"Related"	"Immature teratoma, malignant"							
"9080/3"	"Synonym"	"Immature teratoma, NOS"						"(except of lung, thymus or thyroid M-9080/1)"	
"9081/3"	"Preferred"	"Teratocarcinoma"							
"9081/3"	"Synonym"	"Mixed embryonal carcinoma and teratoma"							
"9081/3"	"Related"	"Teratocarcinosarcoma"							
"9082/3"	"Preferred"	"Malignant teratoma, undifferentiated"							
"9082/3"	"Synonym"	"Malignant teratoma, anaplastic"							
"9083/3"	"Preferred"	"Malignant teratoma, intermediate"							
"9084/0"	"Preferred"	"Dermoid cyst, NOS"							
"9084/0"	"Synonym"	"Dermoid, NOS"							
"9084/0"	"Related"	"Teratoma, prepubertal type"	"(C62._)"						
"9084/0"	"Synonym"	"Teratoma, mature, prepubertal type"	"(C62._)"						
"9084/3"	"Preferred"	"Teratoma with malignant transformation"							
"9084/3"	"Synonym"	"Teratoma with somatic type malignancies"							
"9084/3"	"Synonym"	"Dermoid cyst with malignant transformation"	"(C56.9)"						
"9084/3"	"Synonym"	"Dermoid cyst with secondary tumor"							
"9085/3"	"Preferred"	"Mixed germ cell tumor"							
"9085/3"	"Related"	"Mixed teratoma and seminoma"							
"9086/3"	"Preferred"	"Germ cell tumor with associated hematological malignancy"							
"9090/0"	"Preferred"	"Struma ovarii, NOS"	"(C56.9)"						
"9090/3"	"Preferred"	"Struma ovarii, malignant"	"(C56.9)"						
"9091/1"	"Preferred"	"Strumal carcinoid"	"(C56.9)"						
"9091/1"	"Synonym"	"Struma ovarii and carcinoid"	"(C56.9)"						
"910"	2	"Trophoblastic neoplasms"							
"9100/0"	"Preferred"	"Hydatidiform mole, NOS"	"(C58.9)"						
"9100/0"	"Synonym"	"Complete hydatidiform mole"	"(C58.9)"						
"9100/0"	"Synonym"	"Hydatid mole"	"(C58.9)"						
"9100/1"	"Preferred"	"Invasive hydatidiform mole"	"(C58.9)"						
"9100/1"	"Synonym"	"Invasive mole, NOS"	"(C58.9)"						
"9100/1"	"Synonym"	"Chorioadenoma, NOS"	"(C58.9)"						
"9100/1"	"Synonym"	"Chorioadenoma destruens"	"(C58.9)"						
"9100/1"	"Synonym"	"Malignant hydatidiform mole"	"(C58.9)"						
"9100/3"	"Preferred"	"Choriocarcinoma, NOS"							
"9100/3"	"Synonym"	"Chorioepithelioma"							
"9100/3"	"Synonym"	"Chorionepithelioma"							
"9101/3"	"Preferred"	"Choriocarcinoma combined with other germ cell elements"							
"9101/3"	"Synonym"	"Choriocarcinoma combined with embryonal carcinoma"							
"9101/3"	"Synonym"	"Choriocarcinoma combined with teratoma"							
"9102/3"	"Preferred"	"Malignant teratoma, trophoblastic"							
"9103/0"	"Preferred"	"Partial hydatidiform mole"	"(C58.9)"						
"9104/1"	"Preferred"	"Placental site trophoblastic tumor"	"(C58.9)"						
"9105/3"	"Preferred"	"Trophoblastic tumor, epithelioid"							
"911"	2	"Mesonephromas"							
"9110/0"	"Preferred"	"Adenoma of rete ovarii"	"(C56.9)"						
"9110/0"	"Related"	"Mesonephroma, benign"							
"9110/0"	"Synonym"	"Mesonephric adenoma"							
"9110/0"	"Synonym"	"Wolffian duct adenoma"							
"9110/1"	"Preferred"	"Wolffian tumor"							
"9110/1"	"Synonym"	"Wolffian duct tumor"							
"9110/1"	"Synonym"	"Mesonephric tumor"							
"9110/3"	"Preferred"	"Mesonephroma, malignant"							
"9110/3"	"Synonym"	"Mesonephroma, NOS"							
"9110/3"	"Synonym"	"Mesonephric adenocarcinoma"							
"9110/3"	"Synonym"	"Wolffian duct carcinoma"							
"9110/3"	"Related"	"Adenocarcinoma of rete ovarii"	"(C56.9)"						
"912-916"	2	"Blood vessel tumors"							
"9120/0"	"Preferred"	"Hemangioma, NOS"							
"9120/0"	"Synonym"	"Angioma, NOS"							
"9120/0"	"Synonym"	"Chorioangioma"	"(C58.9)"						
"9120/0"	"Related"	"Cherry hemangioma"							
"9120/0"	"Related"	"Sinusoidal hemangioma"							
"9120/0"	"Related"	"Microvenular hemangioma"							
"9120/0"	"Related"	"Glomeruloid hemangioma"							
"9120/0"	"Related"	"Spindle cell hemangioma"							
"9120/0"	"Related"	"Hobnail hemangioma"							
"9120/3"	"Preferred"	"Hemangiosarcoma"							
"9120/3"	"Synonym"	"Angiosarcoma"							
"9121/0"	"Preferred"	"Cavernous hemangioma"							
"9122/0"	"Preferred"	"Venous hemangioma"							
"9123/0"	"Preferred"	"Racemose hemangioma"							
"9123/0"	"Synonym"	"Arteriovenous hemangioma"							
"9124/3"	"Preferred"	"Kupffer cell sarcoma"	"(C22.0)"						
"9125/0"	"Preferred"	"Epithelioid hemangioma"							
"9125/0"	"Synonym"	"Histiocytoid hemangioma"							
"9125/0"	"Related"	"Cutaneous epithelioid angiomatoid nodule"	"(C44._)"						
"9126/0"	"Preferred"	"Atypical vascular lesion"							
"9130/0"	"Preferred"	"Hemangioendothelioma, benign"		"[obs]"					
"9130/1"	"Preferred"	"Hemangioendothelioma, NOS"							
"9130/1"	"Synonym"	"Angioendothelioma"							
"9130/1"	"Related"	"Kaposiform hemangioendothelioma"							
"9130/3"	"Preferred"	"Hemangioendothelioma, malignant"							
"9130/3"	"Synonym"	"Hemangioendothelial sarcoma"							
"9131/0"	"Preferred"	"Capillary hemangioma"							
"9131/0"	"Synonym"	"Hemangioma simplex"							
"9131/0"	"Synonym"	"Infantile hemangioma"							
"9131/0"	"Synonym"	"Juvenile hemangioma"							
"9131/0"	"Synonym"	"Plexiform hemangioma"							
"9131/0"	"Related"	"Lobular capillary hemangioma"							
