product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
OMEPRAZOLE TEVA	GELULE	20MG	NULL	NULL	28	A02B2	3234204	OMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELULE 20MG 28	20	MG
BICARB.NA COOPER	FL PR PER IV	1.4%	NULL	500ML	1	K01A5	1167994	SODIUM	FQC	Parenteral Immediate	FLAC PERF   PARENT.INST.	FL PR PER IV 1.4% 500ML	1.4	%
METFORMINE BIOGAR.	CPR PEL SEC	1000MG	NULL	NULL	30	A10J1	1826103	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 1000MG 30	1000	MG
DILTIAZEM BIOGARAN	LP GELULES	120MG	NULL	NULL	28	C08A0	2079404	DILTIAZEM	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 120MG 28	120	MG
MEBEVERINE DCI	CPR ENROB	100MG	NULL	NULL	30	A03A0	2417304	MEBEVERINE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 100MG 30	100	MG
POTASSIUM DCI	CPR	1000MG	NULL	NULL	30	A12B0	6917002	POTASSIUM	BBA	Oral Solid Delayed	DRAGEE       OR.SOL.RET.	CPR 1000MG 30	1000	MG
DOMPERIDONE MYLAN	CPR PELLIC	10MG	NULL	NULL	40	A03F0	3138401	DOMPERIDONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 10MG 40	10	MG
FERVEX	SACH SS SUC	NULL	ADLT	4.95G	8	R05A0	3456502	ASCORBIC ACID+PARACETAMOL+PHENIRAMINE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH SS SUC ADLT 8 4.95G	NULL	NULL
GILBERT CHL NA	FL UNIDOSE	0.9%	NULL	10ML	30	R01A9	3805003	SODIUM	QGN	Rhinology Local	SOLUT.UNIDOS. RHINOL.LOC	FL UNIDOSE .9% 30 10ML	0.9	%
SUPPOMALINE	PARACET SUP	NULL	NULL	NULL	12	N02B0	8414465	PARACETAMOL+CAFFEINE+CODEINE+ATROPA BELLADONNA	HLB	Rectal Systemic	SUPPO AD V.RECTALE SYST.	PARACET SUP 12	NULL	NULL
MIANSERINE GNR	CPR PEL SEC	60MG	NULL	NULL	14	N06A9	2752205	MIANSERIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 60MG 14	60	MG
MACROGOL 3350 DCI	PDR SOL BUV	5900MG	NULL	6.9G	20	A06A7	2833702	MACROGOL(S)	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SOL BUV 5900MG 20 6.9G	5900	MG
PREDNISOLONE MYLAN	CPR EFFV SEC	20MG	NULL	NULL	20	H02A2	2966501	PREDNISOLONE	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFV SEC 20MG 20	20	MG
SULFAMET TRIMET DCI	CPR.	NULL	FORT	NULL	10	J01E0	8338702	SULFAMETHOXAZOLE+TRIMETHOPRIM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. FORT 10	NULL	NULL
NICERGOLINE MYLAN	GELULE	10MG	NULL	NULL	90	C04A1	3088802	NICERGOLINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 10MG 90	10	MG
BANDE DANTO LATEX	BOITE	NULL	NULL	NULL	1	V99C0	9709150	BANDAGES	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BOITE	NULL	NULL
ESOMEPRAZOLE DCI	CP GASTRORES	40MG	NULL	NULL	14	A02B2	1188203	ESOMEPRAZOLE	ABY	Oral Solid Immediate	AUTRES DRG  OR.SOL.INST.	CP GASTRORES 40MG 14	40	MG
BAMBUTEROL DCI	CPR SEC	10MG	NULL	NULL	30	R03A2	1350503	BAMBUTEROL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 10MG 30	10	MG
ENALAPRIL EG	CPR SEC	5MG	NULL	NULL	28	C09A0	2694901	ENALAPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 28	5	MG
TRIMEBUTINE DCI	SUSP BUV	NULL	NULL	NULL	1	A03F0	1365403	TRIMEBUTINE	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	SUSP BUV	NULL	NULL
CHONDROIT.SULF.SOD	GELULE	400MG	NULL	NULL	84	M05X0	1096703	CHONDROITINSULFURIC ACID	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 400MG 84	400	MG
FENOTEROL+IPRATRO	AERO 200 DOS	NULL	NULL	10ML	1	R03G4	3012401	FENOTEROL+IPRATROPIUM BROMIDE	RHP	Pulmonary	AEROSOL DOSE     PULMON.	AERO 200 DOS 10ML	NULL	NULL
ENBREL	PDR SC+SOLV	25MG	NULL	1ML	4	L04B0	2122102	ETANERCEPT	FPB	Parenteral Immediate	FLACONS INJECT.ORD.LYOPH	PDR SC+SOLV 25MG 4 1ML	25	MG
FIVASA	CP GASTRORES	800MG	NULL	NULL	90	A07E0	2212905	MESALAZINE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 800MG 90	800	MG
RHINALLERGY	CPR A SUCER	NULL	NULL	NULL	60	R01B0	2453301	HISTAMINE+AMBROSIA MARITIMA+EUPHRASIA OFFICINALIS+ALLIUM CEPA+SCHOENOCAULON OFFICINALIS+SOLIDAGO VIRGAUREA	ADE	Oral Solid Immediate	TABLETTE    OR.SOL.INST.	CPR A SUCER 60	NULL	NULL
TAMOXIFENE RPG	CPR	20MG	NULL	NULL	30	L02B1	2874701	TAMOXIFEN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 20MG 30	20	MG
GLUCOSE DCI	FL ISOTON	5%	NULL	500ML	1	K01B3	3884828	GLUCOSE	FQC	Parenteral Immediate	FLAC PERF   PARENT.INST.	FL ISOTON 5% 500ML	5	%
NAFTIDROFURYL MYL	CPR PELLIC	200MG	NULL	NULL	90	C04A1	1731805	NAFTIDROFURYL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 90	200	MG
METHADONE DCI	SP UNIDOSE	5MG	NULL	3.75ML	1	N02A0	2783204	METHADONE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SP UNIDOSE 5MG 3.75ML	5	MG
OLANZAPINE DCI	CPR ENROB	10MG	NULL	NULL	28	N05A1	1250008	OLANZAPINE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 10MG 28	10	MG
CIMETIDINE G GAM	CPR PELLIC	200MG	NULL	NULL	30	A02B1	2149907	CIMETIDINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 30	200	MG
METFORMINE EGN	CPR PEL SEC	1000MG	NULL	NULL	30	A10J1	2043306	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 1000MG 30	1000	MG
CARTEOL LP	LP COLLYRE	2%	NULL	3ML	1	S01E2	2797902	CARTEOLOL	NGB	Ophthalmological	COLLYRE        OPHTALMO.	LP COLLYRE 2% 3ML	2	%
DIHYDROERGOTAM DCI	LYOCS	5MG	NULL	NULL	30	N02C9	2784009	DIHYDROERGOTAMINE	AAB	Oral Solid Immediate	CPR ORODISP OR SOL INST.	LYOCS 5MG 30	5	MG
NAFTIDROFURYL QUAL	CPR PELLIC	200MG	NULL	NULL	90	C04A1	3013603	NAFTIDROFURYL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 90	200	MG
ZOLPIDEM QUALIMED	CPR PEL SEC	10MG	NULL	NULL	14	N05B1	3281402	ZOLPIDEM	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 14	10	MG
PRELE L.INDET	GELULE	250MG	NULL	NULL	1	V07A2	3460401	EQUISETUM ARVENSE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 250MG	250	MG
CLARITHROMYCIN ABB	CPR LIB MOD	500MG	NULL	NULL	10	J01F0	3559002	CLARITHROMYCIN	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	CPR LIB MOD 500MG 10	500	MG
BUFLOMEDIL DCI	CPR PELLIC	150MG	NULL	NULL	20	C04A1	1370106	BUFLOMEDIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 150MG 20	150	MG
DIROSEAL	CR ROUGEUR	NULL	NULL	30ML	1	V99A0	2311001	NULL	MTA	External Form	CREME         A USA.EXT.	CR ROUGEUR 30ML	NULL	NULL
CEFATRIZINE DCI	PDR PR SP	250MG	NULL	60ML	1	J01D1	2823703	CEFATRIZINE	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR PR SP 250MG/5ML 60ML	250	MG
ACTIQ	CPR AV A.BUC	200Y	NULL	NULL	3	N02A0	2695007	FENTANYL	ADE	Oral Solid Immediate	TABLETTE    OR.SOL.INST.	CPR AV A.BUC 200Y 3	200	Y
FOSAVANCE	CP70MG/2800U	NULL	NULL	NULL	4	M05B3	3611501	ALENDRONIC ACID+COLECALCIFEROL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CP70MG/2800UI 4	NULL	NULL
OMEPRAZOLE TEVA	GELULE	20MG	NULL	NULL	7	A02B2	3234201	OMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELULE 20MG 7	20	MG
ANTICORPS ANTI DNA	EXAMEN SANG	NULL	NULL	NULL	1	V99D1	1283002	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	EXAMEN SANG	NULL	NULL
MENOCONFORT	CAPS	NULL	NULL	NULL	40	V07A2	2263801	ASCORBIC ACID+FOLIC ACID+VITAMIN E+BETACAROTENE+CYANOCOBALAMIN+FISH+IRON FERROUS+ZINC+BORAGO OFFICINALIS+BIOFLAVONOIDS	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	CAPS 40	NULL	NULL
OFLOXACINE DCI	COLLYRE	0.3%	NULL	5ML	1	S01A0	1017202	OFLOXACIN	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE .3% 5ML	0.3	%
OMEPRAZOLE QUALI.	GELULE	20MG	NULL	NULL	14	A02B2	3235003	OMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELULE 20MG 14	20	MG
CAPTOP.HYDROCH ARR.	CPR 50/25MG	NULL	NULL	NULL	28	C09B1	3279101	HYDROCHLOROTHIAZIDE+CAPTOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50MG/25MG 28	NULL	NULL
INDOMETACINE DCI	SUP	100MG	NULL	NULL	10	M01A1	1359605	INDOMETACIN	HLB	Rectal Systemic	SUPPO AD V.RECTALE SYST.	SUP 100MG 10	100	MG
FLUODONTYL 1350	DENTIFRICE	NULL	NULL	75ML	1	A01A4	3527550	FLUORINE	KSB	Oral Topic	PATE ORAL TOPIQUE	DENTIFRICE 75ML	NULL	NULL
VIT D DCI	TTES FORMES	NULL	NULL	NULL	1	A11C2	2157001	COLECALCIFEROL	ZYY	Unknown	INCONNU       INCONNU	TTES FORMES	NULL	NULL
PARACETAMOL DCI	SUP AD	1000MG	NULL	NULL	8	N02B0	6430423	PARACETAMOL	HLB	Rectal Systemic	SUPPO AD V.RECTALE SYST.	SUP AD 1000MG 8	1000	MG
CHLORHEXIDINE DCI	SOL EXT	1.5%	NULL	250ML	1	D08A0	1893004	CHLORHEXIDINE	MGA	External Form	LIQUIDE       A USA.EXT.	SOL EXT 1.5% 250ML	1.5	%
STREPSILS LIDOC.	PAST	NULL	NULL	NULL	24	R02A0	2328601	"2,4-DICHLOROBENZYL ALCOHOL+AMYLMETACRESOL+LIDOCAINE"	KDE	Oral Topic	TABLETTE ORAL TOPIQUE	PAST 24	NULL	NULL
COTRIMOXAZOLE DCI	SUSP BUV	NULL	ENF	100ML	1	J01E0	2313060	SULFAMETHOXAZOLE+TRIMETHOPRIM	DGK	Oral Liquid Immediate	SUSPENSION  OR.LIQ.INST.	SUSP BUV ENF 100ML	NULL	NULL
NUTRICAP	CAPS	NULL	NULL	NULL	40	V06D0	6083702	GENERAL NUTRIENTS	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	CAPS 40	NULL	NULL
CETIRIZINE EG	CPR PEL SEC	10MG	NULL	NULL	15	R06A0	3386901	CETIRIZINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 15	10	MG
BUPRENORPHINE DCI	CPR SUBLING	0.4MG	NULL	NULL	7	N07F0	1022403	BUPRENORPHINE	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING .4MG 7	0.4	MG
JOSAMYCINE DCI	SACH PDR	500MG	NULL	0.75G	12	J01F0	2815708	JOSAMYCIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 500MG 12 .750G	500	MG
T/GEL FORT DEM.INT	SHPG ANTIPEL	NULL	NULL	125ML	1	V99A0	1928501	COAL TAR	MGW	External Form	SAV LIQ/BAIN  A USA.EXT.	SHPG ANTIPEL 125ML	NULL	NULL
VASELINE	CAMPHREE	NULL	NULL	NULL	1	V03X0	9284665	CAMPHOR+PARAFFIN OIL	MSA	External Form	ONGUENT       A USA.EXT.	CAMPHREE	NULL	NULL
DEXTROMETHORPH DCI	SP SS SUCRE	0.3%	ADLT	125ML	1	R05D1	2682310	DEXTROMETHORPHAN	DGK	Oral Liquid Immediate	SUSPENSION  OR.LIQ.INST.	SP SS SUCRE .3% ADLT 125ML	0.3	%
BETAHISTINE RATIO.	CPR	8MG	NULL	NULL	90	N07C0	2119703	BETAHISTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 8MG 90	8	MG
AMOXI AC CLAV SAND.	PDR 100/12.5	NULL	ENF	60ML	1	J01C1	3650102	CLAVULANIC ACID+AMOXICILLIN	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR 100MG/12.5MG ENF 60ML	NULL	NULL
QUITAXON	DRG	10MG	NULL	NULL	40	N06A9	7291840	DOXEPIN	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 10MG 40	10	MG
NOCTYL	CPR PEL SEC	15MG	NULL	NULL	10	N05B1	2002903	DOXYLAMINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 15MG 10	15	MG
CEFACLOR DCI	SACH PDR	125MG	NULL	5ML	12	J01D1	2690206	CEFACLOR	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 125MG 12 5ML	125	MG
DILATRANE	SUP	350MG	NULL	NULL	10	R03B2	2796477	THEOPHYLLINE	HLB	Rectal Systemic	SUPPO AD V.RECTALE SYST.	SUP 350MG 10	350	MG
CLOBAZAM DCI	CPR SEC	20MG	NULL	NULL	30	N05C0	1018203	CLOBAZAM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 20MG 30	20	MG
INDOMETACINE DCI	COLLYRE	0.1%	NULL	5ML	1	S01R0	1359609	INDOMETACIN	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE .1% 5ML	0.1	%
CICATRYL	POM.	NULL	NULL	80G	1	D03A9	1970060	ALLANTOIN+CHLOROCRESOL+GUAIAZULENE+VITAMIN E	MSA	External Form	ONGUENT       A USA.EXT.	POM. 80G	NULL	NULL
CLAPPING	SEANCE	NULL	NULL	NULL	1	V99H0	9722850	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	SEANCE	NULL	NULL
SERTRALINE QUALIMED	CPR PEL SEC	50MG	NULL	NULL	28	N06A4	3617301	SERTRALINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 50MG 28	50	MG
PAROXETINE ZENTIVA	CPR PEL SEC	20MG	NULL	NULL	14	N06A4	3709901	PAROXETINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 20MG 14	20	MG
IOBITRIDOL DCI	FL INJ	250MG	NULL	100ML	1	T01A0	1139402	IOBITRIDOL	FPA	Parenteral Immediate	FLACONS INJECT..ORDIN.	FL INJ 250MG/1ML 100ML	250	MG
CHAUPIT 64 JAMB LOU	GTTES BUV	NULL	NULL	20ML	1	C05C0	1823250	ARSENIC+HAMAMELIS VIRGINIANA+AESCULUS HIPPOCASTANUM+ANEMONA PULSATILLA	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	GTTES BUV 20ML	NULL	NULL
URIAGE BARIEDERM	CR REPARATR	NULL	NULL	75ML	1	V99A0	2962901	NULL	MTA	External Form	CREME         A USA.EXT.	CR REPARATR 75ML	NULL	NULL
TRIMETAZIDINE RAT.	SOL BUV	20MG	NULL	60ML	1	C01D0	2371103	TRIMETAZIDINE	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	SOL BUV 20MG/1ML 60ML	20	MG
TIOTROPIUM DCI	GELU PDR INH	18Y	NULL	NULL	30	R03G3	3766301	TIOTROPIUM BROMIDE	RCT	Pulmonary	CAPS INHAL.      PULMON.	GELU PDR INH 18Y 30	18	Y
METFORMINE QUALIM	CPR PELLIC	1000MG	NULL	NULL	30	A10J1	2707205	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 1000MG 30	1000	MG
ERGYRHINO	SOL BUV	NULL	NULL	250ML	1	V07A2	2399901	CHROMIUM+COBALT+COPPER+IRON FERROUS+LITHIUM+MAGNESIUM+MANGANESE+MOLYBDENUM+POTASSIUM+RUBIDIUM+SELENIUM+SILICON DIOXIDE+VANADIUM+ZINC+ECHINACEA PURPUREA+ACHILLEA MILLEFOLIUM+PLANTAGO MAJOR+ROSMARINUS OFFICINALIS	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV 250ML	NULL	NULL
IMUREL	CPR PELLIC	25MG	NULL	NULL	50	L04X0	4512203	AZATHIOPRINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 25MG 50	25	MG
INSPRA	CPR PELLIC	50MG	NULL	NULL	28	C03A1	3542303	EPLERENONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 50MG 28	50	MG
LIGAFLEX EVOLUTION	ATTELL.GENOU	NULL	NULL	NULL	1	V99C0	3692301	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	ATTELL.GENOU	NULL	NULL
CARIL	PDR.	NULL	NULL	300G	1	V06D0	1725160	GENERAL NUTRIENTS	DEK	Oral Liquid Immediate	PDR SOLUBLE OR.LIQ.INST.	PDR. 300G	NULL	NULL
TRETINOINE DCI	SOL.  EXT.	0.1%	NULL	15ML	1	D10A0	2689703	TRETINOIN	MGA	External Form	LIQUIDE       A USA.EXT.	SOL.  EXT. .1% 15ML	0.1	%
CALCITONINE RATIOP	AMP INJ	50IU	NULL	1ML	5	H04A0	1727701	CALCITONIN (SALMON)	FMA	Parenteral Immediate	AMP         PARENT.INST.	AMP INJ 50IU 1ML 5	50	IU
LACTULOSE MYLAN	SOL SAC PRUN	0.66G	NULL	15ML	12	A06A6	1329807	LACTULOSE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SOL SAC PRUN .66G/1ML 12 15ML	0.66	G
MANGAPLEXE MN	GELULE	0.05MG	NULL	NULL	30	A12C2	1268902	MANGANESE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE .05MG 30	0.05	MG
CAPTODIAMINE DCI	DRG	50MG	NULL	NULL	45	N05C0	1089202	CAPTODIAME	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 50MG 45	50	MG
BIORGASEPT	SOL EXT	0.5%	NULL	250ML	1	D08A0	3044601	CHLORHEXIDINE	MGA	External Form	LIQUIDE       A USA.EXT.	SOL EXT .5% 250ML	0.5	%
CIMETIDINE MYLAN	CPR PELLIC	200MG	NULL	NULL	30	A02B1	1328510	CIMETIDINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 30	200	MG
LANSOPRAZOLE DCI	CPR ORODISP.	15MG	NULL	NULL	14	A02B2	2701804	LANSOPRAZOLE	AAB	Oral Solid Immediate	CPR ORODISP OR SOL INST.	CPR ORODISP. 15MG 14	15	MG
CARBOCISTEINE DCI	CPR SS SUCRE	750MG	NULL	NULL	20	R05C0	1680620	CARBOCISTEINE	AAG	Oral Solid Immediate	CPR MACHER  OR.SOL.INST.	CPR SS SUCRE 750MG 20	750	MG
BUPRENORPHINE ARR.	CPR SUBLING	0.4MG	NULL	NULL	7	N07F0	3721701	BUPRENORPHINE	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING .4MG 7	0.4	MG
ACICLOVIR DCI	CPR	800MG	NULL	NULL	35	J05B3	1986002	ACICLOVIR	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 800MG 35	800	MG
OXYCONTIN LP	LP CPR PELLI	20MG	NULL	NULL	28	N02A0	2737403	OXYCODONE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR PELLI 20MG 28	20	MG
AC PIPEMIDIQUE DCI	CPR ENROB	400MG	FORT	NULL	10	G04A2	1216102	PIPEMIDIC ACID	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 400MG FORT 10	400	MG
MACROGOL 4000 DCI	PDR SOL BUV	4G	NULL	4.06G	20	A06A6	2886502	MACROGOL(S)	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SOL BUV 4G 20 4.06G	4	G
CETIRIZINE G GAM	CPR PEL SEC	10MG	NULL	NULL	15	R06A0	3386301	CETIRIZINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 15	10	MG
PEFLOXACINE DCI	CPR MONODOSE	400MG	NULL	NULL	2	J01G1	1095602	PEFLOXACIN	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR MONODOSE 400MG 2	400	MG
SUCCESSIA	CPR 2/.050MG	NULL	NULL	NULL	28	G03F0	2913503	ESTRADIOL+GESTODENE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 2/.050MG 28	NULL	NULL
NORFLOXACINE ARROW	CPR PELLIC	400MG	NULL	NULL	10	J01G1	3152801	NORFLOXACIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 400MG 10	400	MG
IBUPROFENE HEXAL	CPR ENROB	200MG	NULL	NULL	20	N02B0	3200201	IBUPROFEN	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 200MG 20	200	MG
ALFACALCIDOL TEVA	CAPS MOLLES	1Y	NULL	NULL	30	A11C2	3288101	ALFACALCIDOL	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	CAPS MOLLES 1Y 30	1	Y
NOVOPULMON NOV	P.REC200D	200Y	NULL	NULL	1	R03D1	3335302	BUDESONIDE	REP	Pulmonary	POUDRE DOSE      PULMON.	P.REC200D 200Y/DOSE	200	Y
REACTINE	CPR PEL SEC	10MG	NULL	NULL	7	R06A0	3233101	CETIRIZINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 7	10	MG
LAROSCORBINE	CPR EFFVT	1000MG	NULL	NULL	30	A11G1	4944008	ASCORBIC ACID	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 1000MG 30	1000	MG
RPOSAY	LAIT TOIL	NULL	NULL	NULL	1	V99A0	7576235	NULL	MGA	External Form	LIQUIDE       A USA.EXT.	LAIT TOIL	NULL	NULL
AC N-AC.ASP.GL.DCI	COLLYRE	4.9%	NULL	5ML	1	S01G2	1291802	N-ACETYLASPARTIC ACID	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE 4.9% 5ML	4.9	%
METFORMINE G GAM	CPR PEL SEC	1000MG	NULL	NULL	30	A10J1	2204603	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 1000MG 30	1000	MG
VARILRIX	FL LYO + SER	NULL	NULL	0.5ML	1	J07E2	2937401	"VACCINE, VARICELLA"	FPB	Parenteral Immediate	FLACONS INJECT.ORD.LYOPH	FL LYO + SER .5ML	NULL	NULL
COTRIMOXAZOLE TEVA	CPR800/160MG	NULL	NULL	NULL	10	J01E0	2098501	SULFAMETHOXAZOLE+TRIMETHOPRIM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR800/160MG 10	NULL	NULL
FENOPROFENE DCI	CPR PELLIC	300MG	NULL	NULL	16	N02B0	1216302	FENOPROFEN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 300MG 16	300	MG
NICLOSAMIDE DCI	CPR.	0.5G	NULL	NULL	4	P01B0	1349602	NICLOSAMIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. .5G 4	0.5	G
MEDISET PANSEMENT	DETERSION	NULL	NULL	NULL	10	D03A9	2595008	WOUND HEALING AGENTS	MGN	External Form	SOLUT.UNIDOS. A USA.EXT.	DETERSION 10	NULL	NULL
MONONITRATE ISOSOR.	LP GELULES	40MG	NULL	NULL	30	C01E0	2971901	ISOSORBIDE MONONITRATE	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 40MG 30	40	MG
AMOXI AC CLAV QUAL.	S.PDR 1G/125	NULL	ADLT	2G	12	J01C1	3081507	CLAVULANIC ACID+AMOXICILLIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	S.PDR 1G/125MG 12 ADLT 2G	NULL	NULL
OMEPRAZOLE BIOG.	GELULE	10MG	NULL	NULL	14	A02B2	3234505	OMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELULE 10MG 14	10	MG
NABUCOX	CPR PELLIC	500MG	NULL	NULL	28	M01A1	2100504	NABUMETONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 28	500	MG
ATTRACTIVE LINE	BAS CUISSE	NULL	NULL	NULL	1	V99B0	3133301	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BAS CUISSE	NULL	NULL
ADARTREL	CPR PELLIC	0.25MG	NULL	NULL	12	N04A0	3423301	ROPINIROLE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC .25MG 12	0.25	MG
TEMAZEPAM DCI	CAPS	20MG	NULL	NULL	10	N05B1	1291903	TEMAZEPAM	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	CAPS 20MG 10	20	MG
SIMVASTATINE BOUCH.	CPR PELLIC	40MG	NULL	NULL	28	C10A1	3580301	SIMVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 40MG 28	40	MG
